LMC V0008    SiO maser.
LMC V1359    JD 2442600 - 43500 - see Table. B-V: +0.66, +0.72.
LMC V1366    [A/H]=0.13.
LMC V1379    P var. P= 40.566 (JD 2413900 - 26000) [V0008]; during JD 2427000-
LMC V1379    37000 - see Table, the quadratic term +0.00030dxExE ([V0059],
LMC V1379    based on the epochs of Max from [V0046]). According to [V0035], CEP
LMC V1379    15.0-15.8B, Max=2439140.00+17.39xE.
LMC V1381    Identification uncertain [V0016].
LMC V1382    The identification with HV 2341 is erroneous.
LMC V1394    Min ~ JD 2425500. The recovery from Min took ~8000d.
LMC V1421    MinII 16.7.
LMC V1456    According to [V0170], CEP(B): with the main period Pp (see Table)
LMC V1456    corresponding to the first overtone (semiamplitude 0.25B) and
LMC V1456    the secondary period P0 corresponding to the fundamental mode
LMC V1456    (P0/Pp =1.468, semiamplitude 0.13B).
LMC V1457    In the region of the cluster NGC 1866.
LMC V1467    MinII 14.3.
LMC V1469    In the region of the cluster NGC 1866.
LMC V1481    VB A (B 8" nf, C 7" np).
LMC V1484    P=600d-900d [V0036], P=520d: [V0035], P=409d (800d, 1000d)[V0445].
LMC V1486    VB A (B 5", 120{deg}, {Delta} m ~1).
LMC V1506    In the cluster NGC 1866. P var? During 1910-1950 Max=2425946.477+
LMC V1506    3.143815xE [V0008]; since 1950 Max=2433309.34+3.14370xE [V0059].
LMC V1506    According to [V0484], P const. B-V: +0.45, +0.71.
LMC V1513    In the cluster NGC 1866. B-V: +0.36, +0.63.
LMC V1514    P var. Quadratic term +4.9dx10^(-9)xExE. In the cluster NGC 1866.
LMC V1514    B-V: +0.47, +0.71.
LMC V1522    P > 2.5d.
LMC V1524    In the cluster NGC 1866.
LMC V1531    The chart in [V0499] is wrong. B-V: +0.54, +0.69.
LMC V1535    In the cluster NGC 1866.
LMC V1548    B-V: +0.58, +0.76.
LMC V1549    B-V: +0.59, +0.67.
LMC V1553    In the cluster NGC 1866.
LMC V1554    In the cluster NGC 1866. B-V: +0.36, +0.61.
LMC V1555    Waves with P ~ 400 - 600d, {Delta} m ~0.5 are superimposed on
LMC V1555    variations with P ~2500d, {Delta} m ~1.5.
LMC V1557    In the cluster NGC 1866.
LMC V1558    In the region of the cluster NGC 1866.
LMC V1559    In the cluster NGC 1866.
LMC V1567    In the region of the cluster NGC 1871.
LMC V1569    In the region of the cluster NGC 1869.
LMC V1571    In the cluster NGC 1866. B-V: +0.29, +0.65.
LMC V1572    MinII 16.1.
LMC V1582    P var? Max=2423737.848+48.28702xE before JD 2435000 [V0046];
