LMC V0008    SiO maser.
SMC V1435    The epoch in the Table has been derived from [V0297,V0298]; the
SMC V1435    epoch given in [V0209] is JD 2428065.290.
SMC V1444    Sp M6-8/S1.
SMC V1454    B-V: +0.24, +0.42.
SMC V1478    According to [V0209], the period from [V0205] was not verified.
SMC V1481    B-V: +0.26, +0.54.
SMC V1484    The depth of MinII is 0.27m. In the nebula LHa 115-N66.
SMC V1484    Sp WN4+O7I.
SMC V1499    Nebular emission in the spectrum [V0120].
SMC V1505    [A/H]=-1.4.
SMC V1550    According to [V0209], the published period was not verified.
SMC V1552    According to [V0272], 15.3 - 16.7 B, Max=2439128.19+4.9234xE;
SMC V1552    log P=0.524 [V0243]. Wrong identification?
SMC V1564    According to [V0212], it is not excluded that the given P value
SMC V1564    goes with V1566=HV 13017.
SMC V1566    See V1564.
SMC V1578    Sp K5Iae - M2.
SMC V1590    Red.
SMC V1597    VB A (B s, 10", var? [V0001]).
SMC V1600    P var?
SMC V1602    According to [V0212], the P value in [V0209] may refer to V1611=
SMC V1602    HV 12944.
SMC V1605    MinII 17.4.
SMC V1611    According to [V0212], the P value in [V0209] may refer to V1602=
SMC V1611    HV 11419.
SMC V1618    P var. Before JD 2430000 Max=2429566.245+27.057009xE [V0209]
SMC V1618    (large scatter). Since JD 2430000 - see Table. [A/H]=-0.5.
SMC V1624    MinII 16.8.
SMC V1626    The light curve shape var? M-m=0.37P according to the data
SMC V1626    from [V0210].
SMC V1627    [A/H]=-0.8.
SMC V1632    P=120 - 300d .
SMC V1637    Nebular emission in the spectrum [V0120].
SMC V1642    P var.
SMC V1644    P=110 - 210d.
SMC V1645    Nebular emission in the spectrum [V0120].
SMC V1656    MinII 17.6.
SMC V1661    In the region of the cluster NGC 361.
SMC V1667    [A/H]=-0.6.
SMC V1668    See V1730.
SMC V1670    HV 213.
SMC V1676    In [V0209, Table 3] P=1.932495d.
SMC V1679    MinII 15.5.
SMC V1682    Nebular emission in the spectrum [V0120].
SMC V1685    E8 [V0250]. In the region of the cluster NGC 361.
SMC V1689    [A/H]=-0.1.
SMC V1697    [A/H]=-1.4.
SMC V1701    According to [V0243], log P=0.178:, m(med)=16.8m, A > 0.6m.
SMC V1704    In the region of the cluster N12.
SMC V1712    HV 205.
SMC V1713    P var.
SMC V1717    P=90 - 180d.
SMC V1730    Earlier was erroneously identified with SS Tuc=HV 1877.
SMC V1740    HV 215. P ~ 1/3d is possible. {Delta}S=5.0.
SMC V1751    Nebular emission in the spectrum [V0120].
SMC V1752    HV 209.
SMC V1757    HV 208. P > 1d is possible.
SMC V1760    HV 216. A possible member of NGC 362. In the case of SMC
SMC V1760    membership the BLBOO type is possible.
SMC V1762    HV 218.
SMC V1766    Red.
SMC V1768    Red.
SMC V1769    P=180 - 400d.
SMC V1780    HV 217.
SMC V1784    V8 (NGC 362). Probable SMC member.
SMC V1789    B-V: +0.48, +0.70.
SMC V1799    Sp WN3+O7Ia.
SMC V1800    {Delta}S=6.8.
SMC V1804    HV 207. {Delta}S=5.0.
SMC V1809    P=200 - 360d.
SMC V1813    P var? [V0059]. Max=2423824.400+1.455729xE [V0209].
SMC V1814    Sp WN3p:+OB, Pptm =Porb. Epoch of Min is given.
SMC V1816    HV 211.
SMC V1822    [A/H]=-0.3.
SMC V1829    Red.
SMC V1836    Red.
SMC V1840    [A/H]=-0.8. VB A (B var?[V0273]). Mean brightness var? [V0273].
SMC V1844    Nebular emission in the spectrum [V0120].
SMC V1851    V10 (NGC 362). SMC member?
SMC V1867    MinII 15.4.
SMC V1869    In the region of the cluster HW 46.
SMC V1870    Sp G2Ib - M0-1. [A/H]=+0.3. P var?
SMC V1872    [A/H]=-1.2.
SMC V1875    Red.
SMC V1876    P var. Before JD 2422000 Max=2411647.298+29.1597xE; since
SMC V1876    JD 2422000 - see Table.
SMC V1883    Nebular emission in the spectrum [V0120].
SMC V1889    Nebular emission in the spectrum [V0120]. VB A (B 9").
SMC V1901    One long maximum in August, 1968.
SMC V1909    Sp M3 - M5/S2.
SMC V1914    According to [V0212], the data in [V0209] probably refer to V1919=
SMC V1914    HV 1977.
SMC V1919    See V1914.
SMC V1922    Red.
SMC V1923    In the cluster IC 1624.
SMC V1926    In the cluster IC 1624.
SMC V1934    MinII 15.7.
SMC V1956    P=120 - 270d.
SMC V1970    P=130 - 220d .
SMC V1972    Red.
SMC V1974    P=130 - 240d.
SMC V1980    [A/H]=-1.3.
SMC V1982    MinII 14.8.
SMC V1996    B-V: +0.36, +0.64. [A/H]=-1.1.
SMC V1997    Red.
SMC V1999    According to [V0212], CEP?
SMC V2016    The identification with HV 2041 suggested in [V0248] is wrong.
SMC V2021    In the region of the cluster HW 55.
SMC V2022    [A/H]=-0.6.
SMC V2023    In the region of the cluster HW 55.
SMC V2028    In the region of the cluster K 56. The identification with
SMC V2028    TV Tuc is wrong, see V2016.
SMC V2043    [A/H]=-0.4.
SMC V2048    B-V: +0.51, +0.98. [A/H]=-0.5.
SMC V2050    B-V: +0.38, +0.75.
SMC V2059    B-V ~ +4.
SMC V2061    B-V: +0.31, +0.75. [A/H]=-0.7.
SMC V2063    P var.
SMC V2064    B-V: +0.57, +1.03. [A/H]=-0.5.
SMC V2069    [A/H]=-0.3.
SMC V2075    [A/H]=-0.4.
SMC V2078    In the region of the cluster K 58.
SMC V2080    In the region of the cluster NGC 419.
SMC V2084    In the region of the cluster NGC 419.
SMC V2086    In the region of the cluster NGC 419. B-V=+2.7.
SMC V2098    MinII 16.6.
SMC V2110    B-V: +0.57, +0.76.
SMC V2112    In the region of the cluster NGC 419. No.196(V) [V0258].
SMC V2113    In the region of the cluster NGC 419. B-V= +3.6.
SMC V2128    P var, alternative value is 1.390556d.
SMC V2129    [V0209] notes that P var and gives two alternative P values
SMC V2129    (1.828382d, 1.828214d).
SMC V2136    [A/H]=-0.2.
SMC V2146    In the region of the cluster NGC 419.
SMC V2235    Due to a misprint, two P values are given in [V0209] (3.169060d,
SMC V2235    3.169090d).
SMC V2256    Due to a misprint, two P values are given in [V0209], 3.500543d
SMC V2256    and 3.500453d. [V0304] gives Sp M (star 25 in the field A3).
SMC V2262    B-V: +0.44, +0.78.
SMC V2282    B-V: +0.42, +1.18. [Fe/H]=-0.45.
SMC V2293    B-V: +0.42, +0.87. [A/H]=-0.4.
SMC V2296    In the region of the cluster NGC 465.
SMC V2305    MinII 15.62:.
SMC V2310    B-V: +0.56, +0.87.
SMC V2312    The elements for the eclipsing variability are given in the
SMC V2312    Table. The period of the X-ray pulsar is 0.71748s (JD 2441114) -
SMC V2312    0.7132089s (JD 2443986); dP/dt=(-1.35+-0.32)x10^(-10) [V0306].
SMC V2312    The depth of minima of the eclipsing variability: MinI 0.12m,
SMC V2312    MinII 0.10m V. Lx/Lopt ~ 1.2.
SMC V2318    P var.
SMC V2320    B-V: +0.44, +0.74. [A/H]=-0.7.
SMC V2331    MinII 16.4.
SMC V2333    VB A (B 14.28m, 10" n). B-V: +0.43, +0.90.
SMC V2337    B-V: +0.61, +0.83. The elements need confirmation. According to
SMC V2337    [V0202], Max=2436736.5+9.6xE.
SMC V2339    Ap SrEu(Cr). {Delta} m < 0.05 (V, B) [V0270]. P=21d (somewhat
SMC V2339    more probable) or 1.05d [V0290] satisfy the variations of the
SMC V2339    peculiarity index a.
SMC V2342    P =~ 1d - 2d.
SMC V2343    B-V: +0.63, +1.04.
SMC V2344    The depth of MinII 0.50m.
SMC V2345    B-V: +0.57, +0.98.
SMC V2347    [A/H]=-0.2.
SMC V2348    B-V: +0.35, +0.94. [A/H]=-0.6.
SMC V2351    Sp B5:I+KI.
SMC V2353    B-V: +0.66, +1.17. [A/H]=-0.3.
SMC V2355    In the region of the cluster NGC 602.
SMC V2359    Due to a misprint,two P values are given in [V0209] (7.037199d,
SMC V2359    7.033122d).
SMC V2362    B-V: +0.36, +0.89. [A/H]=-0.8.
SMC V2380    B-V: +0.65, +1.06.
SMC V2391    SB1, Porb =18.379d.
SMC V2393    B-V: +0.51, +0.99.
SMC V2394    [V0308] considers a possible misprint (5.00 instead of the
SMC V2394    correct magnitude 6.00) in the photoelectric magnitude from
SMC V2394    [V0309] as a cause for the large disagreement among published
SMC V2394    magnitudes.
M31 V0011    UG? [V0332]; QSO? [V0333].
M31 V0016    MinII - MinI=0.44P.
M31 V0040    MinII 21.4. Irregular changes in Max light are possible.
M31 V0047    MinII 22.1.
M31 V0048    MinII 19.4.
M31 V0052    MinII 20.9.
M31 V0056    MinII 22.1.
M31 V0061    MinII 21.9.
M31 V0076    Found on a single photograph.
M31 V0119    The light curve shape var.
M31 V0122    P > 500d.
M31 V0123    MinII 21.9. MinII - MinI=0.65P:.
M31 V0147    VB ( both components var), see V0149.
M31 V0149    VB ( both components var), see V0147.
M31 V0153    MinII 21.4.
M31 V0166    2 flares: JD 2440480 16.8m; 2440861 - 863 17.0m [V0332].
M31 V0166    V=17.9, B-V=-0.5, U-B=-0.5 [V0333].
M31 V0173    MinII 21.3.
M31 V0224    MinII 20.2.
M31 V0234    VB (A=V0235, B=V0234, 0.9").
M31 V0235    VB (A=V0235, B=V0234, 0.9").
M31 V0248    MinII 21.9.
M31 V0276    MinII 21.4.
M31 V0288    MinII 21.4.
M31 V0336    MinII 22.5.
M31 V0359    MinII 21.6.
M31 V0362    d=0.12P. MinII 19.4.
M31 V0366    Marked twice in the chart (see V0539); it is not known to
M31 V0366    which star the data refer. Epoch of Min is given.
M31 V0409    Marked twice in the chart (see V0536); it is not known to
M31 V0409    which star the data refer. Type I is also possible.
M31 V0410    Light curve with large scatter.
M31 V0448    MinII 21.3.
M31 V0469    No.62 [V0342]. According to [V0342], Max=2433571.794+28.5625xE.
M31 V0470    Marked twice in the chart (see V0552); one of the two stars -
M31 V0470    SR:,21.8-22.9 pg, Max=2433860+(240.0:)xE, another one - E, 22.0-
M31 V0470    23.3 pg, Min=2433590.67+4.2303xE, D=0.12P.
M31 V0489    d=0.12P. MinII 21.8.
M31 V0506    MinII 21.3. MinII-MinI=0.66P.
M31 V0529    MinII 21.2.
M31 V0533    Found on a single photograph.
M31 V0536    See V0409.
M31 V0539    See V0366.
M31 V0544    Found on a single photograph.
M31 V0552    See V0470.
M31 V0573    MinII 20.5.
M31 V0575    MinII 21.7.
M31 V0593    Found on a single photograph.
M31 V0602    MinII 21.7.
M31 V0609    Two outbursts were observed: JD 2439349, 16.4 pg; JD 2440154,
M31 V0609    17.7 pg.
M31 V0618    MinII 20.2:.
M31 V0630    A long-period eclipsing star? Min 2433900.
M31 V0665    Previous outburst: JD 2424681 (1926) (Nova 62, [V0338]).
M31 V0687    Blue.
M31 V0691    Blue.
M31 V0706    Cycles 30d - 100d.
M31 V0735    (18.4B (JD 2447121.283) [V0509].
M31 V0745    Remained in Max in 1924 - 1928. Not seen in 1967 - 1988.
M31 V0750    Max 19.27 m(Ha).
M31 V0762    According to [V0509], (18.6m on 7 photographs, JD 2445316-323.
M31 V0775    Blue.
M31 V0805    Red.
M31 V0810    N4 [V0339].
M31 V0827    See V0829.
M31 V0829    Co-ordinates are close to those of V827=Nova 35 [V0338]. If
M31 V0829    identical, the object is not a classical Nova.
M31 V0835    Co-ordinates close to those of V838=Nova 136 [V0355].
M31 V0838    See V0835. Found on a single photograph.
M31 V0845    Max 16.92 m(Ha).
M31 V0855    Single photograph with a brightening, JD 2435398. Blue.
M31 V0889    Nova 13 [V0361].
M31 V0892    Nova 8 [V0361].
M31 V0909    Found on a single photograph.
M31 V0921    Erroneously identified in [V0349] with Nova 12 [V0339]=V0860.
M31 V0927    See V0942.
M31 V0933    Secondary Max JD 2434924, 18.0 pg.
M31 V0936    Found on a single photograph.
M31 V0942    In [V0349] identified with Nova 12 [V0339]=V927; the identification
M31 V0942    is probably erroneous.
M31 V0954    Found on a single photograph.
M31 V0965    Might be identical with V0966.
M31 V0966    Might be identical with V0965.
M31 V0976    Observed in Max for 5.5 years. Possibly belongs to SDOR type
M31 V0976    [V0408].
M31 V0979    Outbursts: Max JD 2438288, 17.8 pg; JD 2440125, 17.3 pg.
M31 V0989    Found on a single photograph.
M31 V1006    See V1007.
M31 V1007    Indentical with V1006. Unusually large amplitude; variations
M31 V1007    of Vr by 390 km/s in 8h have been noted.
M31 V1008    Max 17.94 m(Ha).
M31 V1009    Found on a single photograph.
M31 V1039    Max 18.34 m(Ha).
M31 V1048    V1050=N9 [V0361] is close.
M31 V1065    Nova 2 [V0339].
M31 V1067    Found on a single photograph.
M31 V1071    According to [V0384],this is not a Nova but a field M 31 star;
M31 V1071    however, in the given position there is only a ~20m pg star [V0059]
M31 V1081    It is assumed that in [V0348] the magnitude for JD 2426146
M31 V1081    should be (18.0 pg. Found on a single photograph.
M31 V1093    Max 17.42 m(Ha).
M31 V1096    The identification with Nova 7 [V0328], suggested in [V0349],
M31 V1096    is wrong.
M31 V1112    Found on a single photograph. According to [V0509], not present on
M31 V1112    photographs taken on the same date and on the previous one, (19.0B.
M31 V1115    The coordinates we give, based on rectangular co-ordinates from
M31 V1115    [V0346], are in contradiction with the direction to the star
M31 V1115    marked in the chart in [V0346].
M31 V1120    Found on a single photograph.
M31 V1126    The co-ordinates in Vol.I of the GCVS (4th ed.) are wrong.
M31 V1127    According to [V0331], const.
M31 V1151    MinII 24.4. Located 14 mm below V1 in the chart [V0389, Fig. 2].
M31 V1152    Alternative P=0.570d.
M31 V1153    Alternative P=0.495d.
M31 V1193    The co-ordinates in the NSV catalogue are wrong.
M31 V1194    z=0.134.
M31 V1197    Found on a single photograph.
M33 V0004    Hubble's [V0313] V4 is identified in [V0318] with the variable
M33 V0004    Q10954; however, our co-ordinate determinations for the
M33 V0004    variables from [V0313,V0323] show that Q10954 is most probably
M33 V0004    identical with V49.
M33 V0006    Co-ordinates are uncertain [V0059].
M33 V0010    May be identical with 151red [V0324]: <B>-<V>=2.05.
M33 V0014    According to [V0320], DCEP, Max=2424349.991+46.35xE.
M33 V0018    Max=2424057.0+34.00xE (JD 2418560 - 24414); during 1982-1985 -
M33 V0018    see Table. P var?
M33 V0025    P=13.510d is possible. P var?
M33 V0030    Identical with Var 79 [V0323].
M33 V0031    P var? Max=2424084.0+37.33xE (JD 2418560 - 24414).
M33 V0035    The observations from [V0323] do not satisfy the elements and
M33 V0035    may be represented by the value P=6.267d [V0059].
M33 V0044    Apparently a neighbouring star is marked on the photograph in
M33 V0044    [V0323]. Moreover, the observations from [V0323] cannot be
M33 V0044    represented with the elements [V0313] or with the value P=42d given
M33 V0044    in [V0323]; the best light curve is given by the value P=9.600d
M33 V0044    [V0059].
M33 V0045    The value P=78.88985d given in [V0319] is due to a misprint.
M33 V0046    Red. Cycles ~2 yrs. A flare on JD 2440858 - 865.
M33 V0049    See V0004. Data for Q10954 from [V0318]: CEP, P=27.24d.
M33 V0052    Blue.
M33 V0055    <B-V>=+3.0.
M33 V0058    Red.
M33 V0059    B-V =~ 0. May be identified [V0394] with the diffuse object H20
M33 V0059    [V0399].
M33 V0067    Blue.
M33 V0068    It is unclear if the data in [V0314] (V=17.2, B-V=-0.1, U-B=-0.4)
M33 V0068    refer to B338=V68 or to B378.
M33 V0076    Two different stars are marked in the charts (Fig.1 and Fig.3c)
M33 V0076    in [V0323]; the co-ordinates correspond to Fig.3c.
M33 V0077    According to [V0323], Table 4, 18.4 - 18.7V, slow; this is in
M33 V0077    contradiction with the individual observations in Table 3.
M33 V0077    Blue. According to [V0540],const (1973 - 1989). See V0359.
M33 V0079    Red. Cycles 1-2 yrs.
M33 V0081    The two finding charts in [V0323] (Fig.2 and Fig.3c) show different
M33 V0081    stars, the second one coinciding with V73. The coordinates in
M33 V0081    the Table refer to Fig.2.
M33 V0083    The value Max 9.5R seems doubtful [V0059]. 85 photographic
M33 V0083    estimates (1982 - 1985) do not confirm the variability [V0394].
M33 V0085    Red.
M33 V0088    Red.
M33 V0096    IR excess; in 1985-1986 - Sp M3, practically without emissions
M33 V0096    (besides H{alpha}), not typical for SDOR stars [V0396].
M33 V0124    Red.
M33 V0125    Red.
M33 V0127    The identification with E17 [V0326] suggested in [V0318] is
M33 V0127    doubtful.
M33 V0130    Red.
M33 V0145    Red.
M33 V0148    Red.
M33 V0153    Red.
M33 V0176    Very red.
M33 V0192    Red.
M33 V0193    Multiple.
M33 V0194    Red.
M33 V0197    Red.
M33 V0200    Fuzzy images in B, V light.
M33 V0201    Red.
M33 V0206    Red.
M33 V0213    Red.
M33 V0214    Red.
M33 V0219    Very red.
M33 V0227    Red.
M33 V0228    Red.
M33 V0241    Red.
M33 V0245    Suggested identification with V44 [V0318] is wrong.
M33 V0247    Red.
M33 V0250    Red.
M33 V0256    Red.
M33 V0257    Red.
M33 V0258    Red.
M33 V0259    Red.
M33 V0262    Red.
M33 V0265    17.2m (1955); (22m (1977).
M33 V0274    Red.
M33 V0275    Red.
M33 V0276    Red.
M33 V0281    In the chart [V0315] the star is marked unclearly. The coordinates
M33 V0281    refer to the position considered most probable by the authors
M33 V0281    of the catalogue. Wrong identification in [V0401] is possible.
M33 V0285    Red.
M33 V0290    Red.
M33 V0295    Red.
M33 V0296    Red.
M33 V0298    Red.
M33 V0300    Red.
M33 V0301    Red.
M33 V0307    Red.
M33 V0310    Red.
M33 V0312    Red.
M33 V0313    Red.
M33 V0315    Red.
M33 V0325    Red.
M33 V0335    Red.
M33 V0340    According to [V0399], the object has non-stellar appearence; the
M33 V0340    chart in [V0399] shows 2 objects, it is not clear which of them
M33 V0340    the name c21 refers to. According to [V0374], var in V light.
M33 V0340    B-V = 0.62.
M33 V0341    Red. It is difficult to identify the star using the chart in
M33 V0341    [V0318].
M33 V0348    Red.
M33 V0354    Red.
M33 V0356    Red.
M33 V0359    Close to V0077; however, the identification with that star
M33 V0359    suggested in [V0318] seems to be wrong.
M33 V0361    It is difficult to identify the star using the chart in [V0318].
M33 V0362    Very red.
M33 V0363    Red.
M33 V0364    Red.
M33 V0365    Red.
M33 V0368    Very red.
M33 V0371    Red.
M33 V0372    Red.
M33 V0377    Red.
M33 V0383    Red.
M33 V0384    Red.
M33 V0396    Red.
M33 V0402    Red.
M33 V0405    Red.
M33 V0408    Red.
M33 V0410    Red.
M33 V0412    The two stars treated as different stars in [V0318] are most
M33 V0412    probably identical.
M33 V0420    Red.
M33 V0421    The co-ordinates are very uncertain. 6.6' sf from the nucleus
M33 V0421    of M 33.
M33 V0428    Red.
M33 V0435    Red.
M33 V0438    Red.
M33 V0441    Red.
M33 V0442    Red.
M33 V0443    Red.
M33 V0459    Red.
M33 V0463    Red.
M33 V0465    Red.
M33 V0470    Red.
M33 V0478    Red.
M33 V0480    Red.
M33 V0483    Red.
M33 V0487    Red.
M33 V0489    Red.
M33 V0491    Red.
M33 V0492    Red.
M33 V0499    Red.
M33 V0500    Red.
M33 V0501    A single plate with a brightening (JD 2423078). According to
M33 V0501    [V0394], the variability can not be confirmed.
M33 V0504    Red.
M33 V0516    Red.
M33 V0526    Red.
M33 V0528    Red.
M33 V0530    Red.
M33 V0535    Red.
N0147 V0001  g (Gunn) magnitudes are given. Twice longer P is possible [V0059].
N0147 V0002  g (Gunn) magnitudes are given.
N0147 V0003  g (Gunn) magnitudes are given.
N0147 V0004  g (Gunn) magnitudes are given.
N0147 V0005  g (Gunn) magnitudes are given.
N0147 V0006  g (Gunn) magnitudes are given.
N0147 V0007  g (Gunn) magnitudes are given.
N0147 V0008  g (Gunn) magnitudes are given.
N0147 V0009  g (Gunn) magnitudes are given.
N0147 V0010  g (Gunn) magnitudes are given.
N0147 V0011  g (Gunn) magnitudes are given.
N0147 V0012  g (Gunn) magnitudes are given.
N0147 V0013  g (Gunn) magnitudes are given.
N0147 V0014  g (Gunn) magnitudes are given.
N0147 V0015  g (Gunn) magnitudes are given.
N0147 V0016  g (Gunn) magnitudes are given.
N0147 V0017  g (Gunn) magnitudes are given.
N0147 V0018  g (Gunn) magnitudes are given.
N0147 V0019  g (Gunn) magnitudes are given.
N0147 V0020  g (Gunn) magnitudes are given.
N0147 V0021  g (Gunn) magnitudes are given.
N0147 V0022  g (Gunn) magnitudes are given. MinII 25.1.
N0147 V0023  g (Gunn) magnitudes are given. Possibly RRC, P ~0.35d.
N0147 V0024  g (Gunn) magnitudes are given.
N0147 V0025  g (Gunn) magnitudes are given.
N0147 V0026  g (Gunn) magnitudes are given.
N0147 V0027  g (Gunn) magnitudes are given.
N0147 V0028  g (Gunn) magnitudes are given.
N0147 V0029  g (Gunn) magnitudes are given.
N0147 V0030  g (Gunn) magnitudes are given.
N0147 V0031  g (Gunn) magnitudes are given.
N0147 V0032  g (Gunn) magnitudes are given.
N0147 V0033  g (Gunn) magnitudes are given.
N0147 V0034  g (Gunn) magnitudes are given.
N0147 V0035  g (Gunn) magnitudes are given.
N0147 V0036  g (Gunn) magnitudes are given.
N0147 V0037  g (Gunn) magnitudes are given.
N0147 V0038  g (Gunn) magnitudes are given.
N0147 V0039  g (Gunn) magnitudes are given. Possibly RRC, P ~0.35d.
N0147 V0040  g (Gunn) magnitudes are given.
N0147 V0041  g (Gunn) magnitudes are given.
N0147 V0042  g (Gunn) magnitudes are given.
N0147 V0043  g (Gunn) magnitudes are given.
N0147 V0044  g (Gunn) magnitudes are given.
N0147 V0045  g (Gunn) magnitudes are given.
N0147 V0046  g (Gunn) magnitudes are given.
N0147 V0047  g (Gunn) magnitudes are given.
N0147 V0048  g (Gunn) magnitudes are given.
N0147 V0049  g (Gunn) magnitudes are given.
N0185 V0001  g (Gunn) magnitudes are given.
N0185 V0002  g (Gunn) magnitudes are given.
N0185 V0003  g (Gunn) magnitudes are given.
N0185 V0004  g (Gunn) magnitudes are given.
N0185 V0005  g (Gunn) magnitudes are given.
N0185 V0006  g (Gunn) magnitudes are given.
N0185 V0007  g (Gunn) magnitudes are given.
N0185 V0008  g (Gunn) magnitudes are given.
N0185 V0009  g (Gunn) magnitudes are given.
N0185 V0010  g (Gunn) magnitudes are given.
N0185 V0011  g (Gunn) magnitudes are given.
N0185 V0012  g (Gunn) magnitudes are given.
N0185 V0013  g (Gunn) magnitudes are given.
N0185 V0014  g (Gunn) magnitudes are given.
N0185 V0015  g (Gunn) magnitudes are given. P > 2d is possible.
N0185 V0016  g (Gunn) magnitudes are given.
N0185 V0017  g (Gunn) magnitudes are given.
N0185 V0018  g (Gunn) magnitudes are given.
N0185 V0019  g (Gunn) magnitudes are given.
N0185 V0020  g (Gunn) magnitudes are given.
N0185 V0021  g (Gunn) magnitudes are given.
N0185 V0022  g (Gunn) magnitudes are given.
N0185 V0023  g (Gunn) magnitudes are given.
N0185 V0024  g (Gunn) magnitudes are given.
N0185 V0025  g (Gunn) magnitudes are given.
N0185 V0026  g (Gunn) magnitudes are given.
N0185 V0027  g (Gunn) magnitudes are given.
N0185 V0028  g (Gunn) magnitudes are given.
N0185 V0029  g (Gunn) magnitudes are given.
N0185 V0030  g (Gunn) magnitudes are given.
N0185 V0031  g (Gunn) magnitudes are given.
N0185 V0032  g (Gunn) magnitudes are given.
N0185 V0033  g (Gunn) magnitudes are given.
N0185 V0034  g (Gunn) magnitudes are given.
N0185 V0035  g (Gunn) magnitudes are given.
N0185 V0036  g (Gunn) magnitudes are given.
N0185 V0037  g (Gunn) magnitudes are given.
N0185 V0038  g (Gunn) magnitudes are given.
N0185 V0039  g (Gunn) magnitudes are given.
N0185 V0040  g (Gunn) magnitudes are given.
N0185 V0041  g (Gunn) magnitudes are given.
N0185 V0042  g (Gunn) magnitudes are given.
N0185 V0043  g (Gunn) magnitudes are given.
N0185 V0044  g (Gunn) magnitudes are given.
N0185 V0045  g (Gunn) magnitudes are given.
N0185 V0046  g (Gunn) magnitudes are given.
N0185 V0047  g (Gunn) magnitudes are given.
N0185 V0048  g (Gunn) magnitudes are given.
N0185 V0049  g (Gunn) magnitudes are given.
N0185 V0050  g (Gunn) magnitudes are given.
N0185 V0051  g (Gunn) magnitudes are given.
N0185 V0052  g (Gunn) magnitudes are given.
N0185 V0053  g (Gunn) magnitudes are given.
N0185 V0054  g (Gunn) magnitudes are given.
N0185 V0055  g (Gunn) magnitudes are given.
N0185 V0056  g (Gunn) magnitudes are given.
N0185 V0057  g (Gunn) magnitudes are given.
N0185 V0058  g (Gunn) magnitudes are given.
N0185 V0059  g (Gunn) magnitudes are given.
N0185 V0060  g (Gunn) magnitudes are given.
N0185 V0061  g (Gunn) magnitudes are given.
N0185 V0062  g (Gunn) magnitudes are given.
N0185 V0063  g (Gunn) magnitudes are given.
N0185 V0064  g (Gunn) magnitudes are given.
N0185 V0065  g (Gunn) magnitudes are given.
N0185 V0066  g (Gunn) magnitudes are given.
N0185 V0067  g (Gunn) magnitudes are given.
N0185 V0068  g (Gunn) magnitudes are given.
N0185 V0069  g (Gunn) magnitudes are given.
N0185 V0070  g (Gunn) magnitudes are given.
N0185 V0071  g (Gunn) magnitudes are given.
N0185 V0072  g (Gunn) magnitudes are given.
N0185 V0073  g (Gunn) magnitudes are given.
N0185 V0074  g (Gunn) magnitudes are given.
N0185 V0075  g (Gunn) magnitudes are given.
N0185 V0076  g (Gunn) magnitudes are given.
N0185 V0077  g (Gunn) magnitudes are given.
N0185 V0078  g (Gunn) magnitudes are given.
N0185 V0079  g (Gunn) magnitudes are given.
N0185 V0080  g (Gunn) magnitudes are given.
N0185 V0081  g (Gunn) magnitudes are given.
N0185 V0082  g (Gunn) magnitudes are given.
N0185 V0083  g (Gunn) magnitudes are given.
N0185 V0084  g (Gunn) magnitudes are given.
N0185 V0085  g (Gunn) magnitudes are given.
N0185 V0086  g (Gunn) magnitudes are given.
N0185 V0087  g (Gunn) magnitudes are given.
N0185 V0088  g (Gunn) magnitudes are given.
N0185 V0089  g (Gunn) magnitudes are given.
N0185 V0090  g (Gunn) magnitudes are given.
N0185 V0091  g (Gunn) magnitudes are given.
N0185 V0092  g (Gunn) magnitudes are given.
N0185 V0093  g (Gunn) magnitudes are given.
N0185 V0094  g (Gunn) magnitudes are given.
N0185 V0095  g (Gunn) magnitudes are given.
N0185 V0096  g (Gunn) magnitudes are given.
N0185 V0097  g (Gunn) magnitudes are given.
N0185 V0098  g (Gunn) magnitudes are given.
N0185 V0099  g (Gunn) magnitudes are given.
N0185 V0100  g (Gunn) magnitudes are given.
N0185 V0101  g (Gunn) magnitudes are given.
N0185 V0102  g (Gunn) magnitudes are given.
N0185 V0103  g (Gunn) magnitudes are given.
N0185 V0104  g (Gunn) magnitudes are given.
N0185 V0105  g (Gunn) magnitudes are given.
N0185 V0106  g (Gunn) magnitudes are given.
N0185 V0107  g (Gunn) magnitudes are given.
N0185 V0108  g (Gunn) magnitudes are given.
N0185 V0109  g (Gunn) magnitudes are given.
N0185 V0110  g (Gunn) magnitudes are given.
N0185 V0111  g (Gunn) magnitudes are given.
N0185 V0112  g (Gunn) magnitudes are given.
N0185 V0113  g (Gunn) magnitudes are given.
N0185 V0114  g (Gunn) magnitudes are given.
N0185 V0115  g (Gunn) magnitudes are given.
N0185 V0116  g (Gunn) magnitudes are given.
N0185 V0117  g (Gunn) magnitudes are given.
N0185 V0118  g (Gunn) magnitudes are given.
N0185 V0119  g (Gunn) magnitudes are given.
N0185 V0120  g (Gunn) magnitudes are given.
N0185 V0121  g (Gunn) magnitudes are given.
N0185 V0122  g (Gunn) magnitudes are given.
N0185 V0123  g (Gunn) magnitudes are given.
N0185 V0124  g (Gunn) magnitudes are given.
N0185 V0125  g (Gunn) magnitudes are given.
N0185 V0126  g (Gunn) magnitudes are given.
N0185 V0127  g (Gunn) magnitudes are given.
N0185 V0128  g (Gunn) magnitudes are given.
N0185 V0129  g (Gunn) magnitudes are given.
N0185 V0130  g (Gunn) magnitudes are given.
N0185 V0131  g (Gunn) magnitudes are given.
N0185 V0132  g (Gunn) magnitudes are given.
N0185 V0133  g (Gunn) magnitudes are given.
